Measure;Age;Li7;Mg24;Ca43;Mn55;Fe57;Rb85;Sr86;Sr87;Cd114;Ba138;Hg202;Pb208
0;0;3.16E-06;0.000184487;1;1.58E-05;NA;NA;0.006491627;0.007005574;NA;8.26E-06;NA;NA
12.922;0;NA;0.000136831;1;1.01E-05;NA;NA;0.006680392;0.005246498;NA;9.33E-06;NA;NA
25.851;0;2.91E-06;0.000174645;1;1.31E-05;NA;NA;0.006575976;0.006581616;NA;1.24E-05;4.98E-07;NA
38.78;0;NA;0.000142103;1;1.27E-05;NA;NA;0.006246108;0.006358837;NA;1.59E-05;NA;NA
51.702;0;3.33E-06;0.00013933;1;1.19E-05;NA;7.93E-06;0.005994268;0.006088443;NA;1.67E-05;NA;NA
64.631;0;NA;0.000120655;1;1.03E-05;NA;1.08E-05;0.0060873;0.006478427;NA;2.17E-05;NA;NA
77.56;0;3.18E-06;0.000113342;1;9.09E-06;NA;NA;0.005819699;0.006301511;NA;2.56E-05;NA;1.25E-07
90.482;0;NA;8.88E-05;1;7.39E-06;NA;NA;0.005710851;0.005858815;NA;2.51E-05;NA;1.22E-07
103.411;0;NA;8.40E-05;1;9.95E-06;NA;NA;0.005823856;0.006136204;NA;2.88E-05;NA;NA
116.340007;0;2.93E-06;7.90E-05;1;6.56E-06;NA;NA;0.005235711;0.005482227;NA;3.11E-05;NA;NA
129.261993;0;NA;8.10E-05;1;8.39E-06;NA;NA;0.005034147;0.004908422;NA;3.58E-05;NA;NA
142.190993;0;NA;9.23E-05;1;1.27E-05;NA;NA;0.005797894;0.005379856;NA;4.66E-05;NA;NA
155.12;0;NA;8.12E-05;1;1.14E-05;NA;NA;0.005280648;0.005548995;NA;5.24E-05;5.96E-07;NA
168.042;0;NA;8.90E-05;1;9.57E-06;NA;9.68E-06;0.005509007;0.004816458;NA;6.08E-05;NA;NA
180.971;0;NA;7.28E-05;1;8.86E-06;NA;NA;0.005256723;0.005266254;NA;6.33E-05;NA;NA
193.900007;0;NA;7.27E-05;1;7.03E-06;NA;NA;0.005385457;0.005065803;NA;6.06E-05;NA;NA
206.821993;0;NA;6.84E-05;1;4.98E-06;NA;NA;0.004922569;0.005373169;NA;6.80E-05;NA;NA
219.750993;0;NA;7.13E-05;1;3.94E-06;6.43E-05;NA;0.005384655;0.005283085;NA;6.14E-05;NA;NA
232.68;0;NA;5.78E-05;1;3.70E-06;0.000141048;NA;0.0057253;0.005691109;NA;7.14E-05;NA;NA
245.602;0;NA;5.96E-05;1;NA;NA;9.99E-06;0.00513856;0.005734867;NA;6.68E-05;NA;NA
258.531;0;3.06E-06;5.20E-05;1;NA;NA;NA;0.005105231;0.004398636;NA;6.44E-05;NA;NA
271.46;0;NA;4.31E-05;1;NA;NA;9.22E-06;0.004916321;0.005207356;NA;6.02E-05;7.86E-07;NA
284.382007;0;NA;5.44E-05;1;NA;NA;1.05E-05;0.005547911;0.005582214;NA;6.21E-05;NA;NA
297.311007;0;NA;5.00E-05;1;NA;NA;NA;0.005853454;0.005262406;NA;4.48E-05;NA;NA
310.240007;0;NA;4.89E-05;1;NA;NA;NA;0.00570827;0.006225779;NA;4.55E-05;NA;1.30E-07
323.161986;0;NA;5.30E-05;1;NA;NA;NA;0.006372263;0.00645347;NA;4.13E-05;NA;NA
336.090986;0;NA;5.38E-05;1;NA;NA;NA;0.006773836;0.006553346;NA;2.90E-05;NA;2.42E-07
349.019986;0;NA;4.92E-05;1;NA;6.10E-05;NA;0.006662761;0.006359609;5.35E-06;3.89E-05;NA;NA
361.941993;0;NA;4.99E-05;1;NA;NA;NA;0.006755678;0.006017442;NA;3.11E-05;NA;NA
374.870993;0;NA;5.10E-05;1;NA;NA;NA;0.006205251;0.006322137;NA;3.64E-05;NA;NA
387.799993;0;NA;4.57E-05;1;NA;NA;NA;0.005605321;0.005742935;NA;3.50E-05;5.54E-07;NA
400.728993;0;NA;4.78E-05;1;NA;9.81E-05;NA;0.006094754;0.006151902;NA;3.77E-05;NA;NA
413.651;0;NA;4.57E-05;1;NA;NA;NA;0.005386805;0.005479277;NA;3.80E-05;NA;NA
426.579972;0;NA;4.21E-05;1;NA;NA;NA;0.006136257;0.005408882;NA;3.59E-05;NA;NA
439.508979;0;5.53E-06;4.95E-05;1;NA;NA;NA;0.006525526;0.006631932;NA;4.55E-05;NA;NA
452.430979;0;NA;4.18E-05;1;NA;NA;NA;0.006110352;0.005864387;NA;4.32E-05;NA;NA
465.359979;0;NA;4.98E-05;1;NA;NA;NA;0.006041606;0.006730454;NA;4.77E-05;5.19E-07;NA
478.288979;0;NA;5.63E-05;1;NA;0.000105022;NA;0.006811313;0.007170459;NA;4.51E-05;NA;NA
491.210986;0;NA;5.36E-05;1;NA;7.35E-05;NA;0.006632354;0.006177995;NA;4.25E-05;NA;NA
504.139986;0;NA;4.93E-05;1;NA;NA;NA;0.006061172;0.005610632;NA;4.56E-05;NA;NA
517.068986;0;NA;4.44E-05;1;NA;7.72E-05;NA;0.006554176;0.006162607;NA;3.86E-05;NA;NA
529.990993;0;NA;5.30E-05;1;NA;NA;NA;0.005837279;0.00622889;NA;4.52E-05;NA;NA
542.919993;0;NA;4.81E-05;1;NA;0.000101431;NA;0.006234639;0.006564438;NA;3.68E-05;NA;NA
555.848993;0;NA;4.91E-05;1;NA;6.42E-05;NA;0.006253763;0.005616408;NA;3.43E-05;NA;NA
568.771;0;NA;6.01E-05;1;NA;NA;NA;0.00599549;0.005941953;NA;2.87E-05;NA;NA
581.7;0;NA;5.24E-05;1;NA;0.000100736;NA;0.005063519;0.005027906;NA;2.17E-05;5.38E-07;NA
594.629;0;NA;5.98E-05;1;NA;7.11E-05;NA;0.005619367;0.005609481;NA;2.77E-05;NA;NA
607.551007;0;NA;5.72E-05;1;NA;NA;NA;0.005601069;0.005431589;NA;2.19E-05;NA;NA
620.480007;0;NA;4.57E-05;1;NA;NA;NA;0.005636291;0.00564107;NA;1.78E-05;NA;NA
633.409007;1;NA;4.37E-05;1;NA;NA;1.27E-05;0.005987992;0.00623702;6.79E-06;1.33E-05;NA;NA
646.331014;1;NA;3.94E-05;1;NA;NA;NA;0.00683704;0.006101535;NA;1.13E-05;6.36E-07;NA
